LAMMPS Description

     5184  atoms
     0  bonds
     0  angles
     0  dihedrals
     0  impropers

     2  atom types

  0.0 42.72 xlo xhi
  0.0 42.72 ylo yhi
  0.0 42.72 zlo zhi

Masses

    1 28.0855
    2  15.9994

Atoms # atomic

505 1 0.0 21.36 21.36
506 1 0.0 24.92 24.92
507 1 1.78 23.14 23.14
508 1 3.56 21.36 24.92
509 1 1.78 26.7 26.7
510 1 5.34 26.7 23.14
511 1 3.56 24.92 21.36
512 1 5.34 23.14 26.7
513 2 0.89 22.25 22.25
514 2 6.23 25.81 24.03
515 2 2.67 24.03 22.25
516 2 4.45 22.25 25.81
517 2 0.89 25.81 25.81
518 2 4.45 25.81 22.25
519 2 2.67 27.59 25.81
520 2 2.67 22.25 24.03
521 2 4.45 24.03 27.59
522 2 6.23 24.03 25.81
523 2 2.67 25.81 27.59
524 2 0.89 27.59 27.59
525 2 0.89 24.03 24.03
526 2 4.45 27.59 24.03
527 2 6.23 27.59 22.25
528 2 6.23 22.25 27.59
529 1 0.0 21.36 28.48
530 1 0.0 24.92 32.04
531 1 1.78 23.14 30.26
532 1 3.56 21.36 32.04
533 1 1.78 26.7 33.82
534 1 5.34 26.7 30.26
535 1 3.56 24.92 28.48
536 1 5.34 23.14 33.82
537 2 0.89 22.25 29.37
538 2 6.23 25.81 31.15
539 2 2.67 24.03 29.37
540 2 4.45 22.25 32.93
541 2 0.89 25.81 32.93
542 2 4.45 25.81 29.37
543 2 2.67 27.59 32.93
544 2 2.67 22.25 31.15
545 2 4.45 24.03 34.71
546 2 6.23 24.03 32.93
547 2 2.67 25.81 34.71
548 2 0.89 27.59 34.71
549 2 0.89 24.03 31.15
550 2 4.45 27.59 31.15
551 2 6.23 27.59 29.37
552 2 6.23 22.25 34.71
553 1 0.0 21.36 35.6
554 1 0.0 24.92 39.16
555 1 1.78 23.14 37.38
556 1 3.56 21.36 39.16
557 1 1.78 26.7 40.94
558 1 5.34 26.7 37.38
559 1 3.56 24.92 35.6
560 1 5.34 23.14 40.94
561 2 0.89 22.25 36.49
562 2 6.23 25.81 38.27
563 2 2.67 24.03 36.49
564 2 4.45 22.25 40.05
565 2 0.89 25.81 40.05
566 2 4.45 25.81 36.49
567 2 2.67 27.59 40.05
568 2 2.67 22.25 38.27
569 2 4.45 24.03 41.83
570 2 6.23 24.03 40.05
571 2 2.67 25.81 41.83
